,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC,LOSO
CCIS11362406ST-4-0,0.20476428232983088,0.8586901755696748,0.1871819648978093,0.5514915262646557,0.575659502129427,0.856900401797045
CCIS11558985ST-4-0,0.45025382442098394,0.5126370842194794,0.25180112691862555,0.5417961335217722,0.3653756840351516,0.6190329380999248
CCIS12370844ST-4-0,0.4670745191941811,0.5421837033945326,0.7462644250848289,0.36953878230719833,0.895301386064034,0.7190083575534767
CCIS12656533ST-4-0,0.9466687672453755,0.7972588696738568,0.8468350687448891,0.2928404760265311,0.9654863937195479,0.8380581401322575
CCIS13047523ST-4-0,0.10122018439351432,0.3740559646062034,0.3285393151686325,0.3141106937204968,0.36844601766998025,0.07867434520017944
CCIS14449628ST-4-0,0.9041644927603076,0.9848497492120295,0.9587979395000943,0.6884797296965965,0.9905833066503611,0.9929958148519957
CCIS15704761ST-4-0,0.8836632264336304,0.7967887428537872,0.9430068800203797,0.38691011841917755,0.9885382480254796,0.8535297462322934
CCIS15794887ST-4-0,0.3223399784803503,0.2678814650651069,0.47011495696557676,0.3566917181847661,0.5040117903831682,0.5845887352057826
CCIS16326685ST-4-0,0.9362596687076967,0.9887923861850743,0.7346876789052488,0.2982765612824193,0.7698168062293368,0.8977302695900223
CCIS16383318ST-4-0,0.21129208464190893,0.8043680990072121,0.7262905314229994,0.5246744333190959,0.6527648295694315,0.599957639931985
CCIS16561622ST-4-0,0.22148547799264579,0.5355180848550077,0.29522178803890653,0.40018773717969897,0.41289338887861377,0.35910056892302517
CCIS17669415ST-4-0,0.3349404994147584,0.837174895277434,0.6625960449099593,0.4525674261740412,0.9298021204211594,0.5567816156573185
CCIS20795251ST-4-0,0.47857797653211165,0.05546974561542039,0.3746226318128417,0.22030290844971112,0.06481877601903104,0.1471095859170345
CCIS21126322ST-4-0,0.20558202488399932,0.11568154903840018,0.04722524008566146,0.1543832323618386,0.16015634816146668,0.11369917536252906
CCIS21278152ST-4-0,0.8476082872270154,0.9878737239333569,0.7277263449446032,0.40258028882223196,0.9455057366580707,0.9118697752286234
